#station time x y
5 576.8 54.7570630121 52.6621556743
1 576.8 28.7992860701 68.8496928185
2 577.0 52.1670745202 1.0180940668
3 577.0 36.0547250456 36.6619122909
4 577.0 54.7555382087 52.6638341096
5 577.0 54.7539643865 52.6624867394
1 577.0 28.8154513864 68.7653355952
2 577.2 52.1823906346 1.1140865384
3 577.2 36.0547250456 36.6619122909
4 577.2 54.7555382087 52.6638341096
5 577.2 54.7537986882 52.6624897295
1 577.2 28.8323128675 68.680399224
2 577.4 52.2088258704 1.2046321387
3 577.4 36.0547250456 36.6619122909
4 577.4 54.7555382087 52.6638341096
5 577.4 54.7537750167 52.6624901563
1 577.4 28.8485171791 68.5954904629
2 577.6 52.2406170057 1.2914960045
3 577.6 36.0547250456 36.6619122909
4 577.6 54.7555382087 52.6638341096
5 577.6 54.7538200546 52.6622141895
1 577.6 28.8657310945 68.509163734
2 577.8 52.2711631542 1.3772847027
3 577.8 36.0547250456 36.6619122909
4 577.8 54.7555145377 52.6638345364
5 577.8 54.7534863528 52.661945058
1 577.8 28.8828058741 68.4253206597
2 578.0 52.3004786088 1.4608973397
3 578.0 36.0547250456 36.6619122909
4 578.0 54.7555145377 52.6638345364
5 578.0 54.7567056393 52.6618869689
